Region,Location,Address,Machine Location,Postal Code
North,Woodlands Sports Centre ,"106 Woodlands Street 13, 730106 ",At Stadium Gate 3 ,730106
North,Yio Chu Kang Sports Centre ,"200 Ang Mo Kio Ave 9, Singapore 569770 ",At the Squash Courts ,569770
North,Hougang Sports Centre ,"93 Hougang Ave 4, Singapore 538832 ",At entrance to Stadium ,538832
North,Sengkang Sports Centre ,"57 Anchorvale Rd, Singapore 544964 ","L1, near bicycle stand at exit gantry of carpark (facing Anchorvale Road)",544964
East,Bedok Mall,"311 New Upper Changi Rd, Singapore 467360 ",B2 Linkway to MRT ,467360
East,Heartbeat @ Bedok,11 Bedok North Street 1 Singapore 469662 ,Level 1 beside Lobby B,469662
East,Tampines Mall ,"4 Tampines Central 5, Singapore 529510 ",L1 passageway beside Starbucks ,529510
East,Geylang East Swimming Complex ,"601 Aljunied Ave 1, Singapore 389862 ",At entrance to swimming complex ,389862
East,Geylang Bahru Blk 68,"Blk 68 Geylang Bahru, Singapore 330068",Void deck next to 7-11 store,330068
East,Plaza 8," 1 Changi Business Park, Crescent Singapore 486025"," Level 1 Podium C, near #01-25",486025
Central,Tiong Bahru Market ,"30 Seng Poh Road, Singapore 168898 ","2nd floor of market, near escalators ",168898
Central,Bishan Sports Centre ,"5 Bishan Street 14, Singapore 579783 ",At Stadium opposite Gate 2 ,579783
Central,Funan ,"107 North Bridge Rd, Singapore 179105 ",L3 near entrance to Courts,179105
Central,Plaza Singapura/ The Atrium @ Orchard ,"60A Orchard Rd, Singapore 238890 ",L4 CSA Counter @ TAO side ,238890
Central,Bugis+ ,"201 Victoria Street, Singapore 188067 ",L1 External Walkway facing Bugis Street ,188067
Central,Toa Payoh Sports Centre ,"301 Lor 6 Toa Payoh, Singapore 319392 ",At entrance of Sports Hall ,319392
Central,Jalan Besar Sports Centre ,"100 Tyrwhitt Rd, Singapore 207542 ",Along walkway to Stadium entrance ,207542
Central,Aperia,"12 Kallang Avenue, Singapore 339511", L1 Lobby A,339511
Central,Raffles City Singapore,"252 North Bridge Road, Singapore 179103",Basement 2 near Lobby A (Green Corner) ,179103
West,Ngee Ann Polytechnic ,"535 Clementi Road, Singapore 599489 ","Block 1, 1st Study Atrium, beside vending machines ",599489
West,Bukit Panjang Plaza ,"1 Jelebu Rd, Singapore 677743 ",L1 External Walkway outside dental clinic ,677743
West,Lot One,"21 Choa Chu Kang Ave 4, Singapore 689812 ",L1 Green Corridor,689812
West,Westgate ,"3 Gateway Dr, Singapore 608532 ", L1 External Walkway facing JEM ,608532
West,Jurong East Sports Centre ,"21 Jurong East Street 31, Singapore 609517 ",L1 near entrance to swimming complex ,609517
West,Bukit Gombak Sports Centre ,"810 Bukit Batok West Ave 5, Singapore 659088 ",L1 near Staircase A ,659088
West,Choa Chu Kang Sports Centre ,1 Choa Chu Kang St 53 Singapore 689236,L1 near vehicle drop off point ,689236
West,Ascent,"2 Science Park Drive, Singapore 118222",Level 1 Retail Lift Lobby,118222
West,Galaxis,"1 Fusionopolis Place, Singapore 138522",L1 Retail Walkway near escalator,138522
South,Sentosa Cove Village ,"1 Cove Ave, Sentosa Arrival Plaza, Singapore 098537 ",Near Cold Storage Sentosa Cove Village trolley return bay ,98537
South,Sentosa Beach ,"Station 50 Beach View, Singapore 098604 ",Opposite Bus Bay 3 ,98604
South,Sentosa RWS ,"8 Sentosa Gateway, Singapore 098269 ","Universal Circle Level 1, (outside Garrett's Popcorn) ",98269
